Breakdown Type,Name,Description,Source,,,,
Department,Art Museum,"The Philadelphia Museum of Art is an art museum originally chartered in 1876 for the Centennial Exposition in Philadelphia. As one of the largest museums in the country, the Philadelphia Museum of Art offers a vibrant campus for both Philadelphians and visitors to enjoy",https://www.philamuseum.org/,,,,
Department,Auditing (City Controller),"The Philadelphia City Controller promotes honest, efficient, effective, and fully accountable city government. Independent of the Mayor and City Council, the City Controller conducts independent audits and analyses that provide objective information to city officials, the public, and other interested parties about the city’s financial affairs, and on ways to improve city operations and the use of public resources.",https://controller.phila.gov/,,,,
Department,Board of Ethics,The Board of Ethics (BOE) administers and enforces the City’s public integrity laws.,https://www.phila.gov/departments/board-of-ethics/,,,,
Department,Board of Revision of Taxes,"The Board of Revision of Taxes (BRT) hears property assessment appeals. The Office of Property Assessment (OPA) decides the dollar-value of every piece of real estate within Philadelphia, and that value determines how much property tax is owed.",https://www.phila.gov/departments/board-of-revision-of-taxes/,,,,
Department,Citizens Police Oversight Commission,"The Citizens Police Oversight Commission (CPOC) oversees and investigates the conduct, policies, and practices of the Philadelphia Police Department (PPD).",https://www.phila.gov/departments/citizens-police-oversight-commission/,,,,
Department,City Commissioners,,,,,,
Department,City Council,,,,,,
Department,City Representative,,,,,,
Department,City Treasurer,,,,,,
Department,Civil Service Commission,,,,,,
Department,Commerce,,,,,,
Department,Commerce - Convention Center Subsidy,,,,,,
Department,Commerce - Economic Stimulus,,,,,,
Department,District Attorney,,,,,,
Department,Finance,,,,,,
Department,Finance - Budget Stabilization,,,,,,
Department,Finance - Community College Subsidy,,,,,,
Department,Finance - Employee Benefits,,,,,,
Department,Finance - Hero Scholarship Awards,,,,,,
Department,Finance - Indemnities,,,,,,
Department,Finance - Payment to Housing Trust Fund,,,,,,
Department,Finance - Refunds,,,,,,
Department,Finance - Reg #32,,,,,,
Department,Finance - School District Contribution,,,,,,
Department,Finance - Witness Fees,,,,,,
Department,Fire,,,,,,
Department,First Judicial District,,,,,,
Department,Fleet Services,,,,,,
Department,Fleet Services - Vehicle Lease/Purch.,,,,,,
Department,Free Library,,,,,,
Department,Human Relations Commission,,,,,,
Department,Human Services,,,,,,
Department,L&I - Board of Building Standards,,,,,,
Department,L&I - Board of L&I Review,,,,,,
Department,Labor,,,,,,
Department,Law,,,,,,
Department,Licenses & Inspection,,,,,,
Department,Managing Director,,,,,,
Department,Managing Director - Defenders Association,,,,,,
Department,Mayor's Office,,,,,,
Department,Mural Arts Program,,,,,,
Department,Neighborhood Community Action Centers,,,,,,
Department,Office of Arts and Culture and the Creative Economy,,,,,,
Department,Office of Behavioral Health and Intellectual disAbility,,,,,,
Department,Office of Community Empowerment and Opportunity,,,,,,
Department,Office of Education,,,,,,
Department,Office of Homeless Services,,,,,,
Department,Office of Human Resources,,,,,,
Department,Office of Innovation and Technology,,,,,,
Department,Office of Innovation and Technology - 911,,,,,,
Department,Office of Property Assessment,,,,,,
Department,Office of Public Safety,,,,,,
Department,Office of Public Safety - Office of Prison Oversight,,,,,,
Department,Office of Sustainability,,,,,,
Department,Office of the Chief Administrative Officer,,,,,,
Department,Office of the Inspector General,,,,,,
Department,Parks and Recreation,,,,,,
Department,Planning and Development,,,,,,
Department,Police,,,,,,
Department,Prisons,,,,,,
Department,Procurement,,,,,,
Department,Public Health,,,,,,
Department,Public Property,,,,,,
Department,Public Property - SEPTA Subsidy,,,,,,
Department,Public Property - Space Rentals,,,,,,
Department,Public Property - Utilities,,,,,,
Department,Records,,,,,,
Department,Register of Wills,,,,,,
Department,Revenue,,,,,,
Department,Sanitation,,,,,,
Department,Sanitation - Disposal,,,,,,
Department,Sheriff,,,,,,
Department,Sinking Fund Commission (Debt Service),,,,,,
FP Category,Advances and Other Misc. Payments,,,,,,
FP Category,"Contrib., Indemnities & Taxes",,,,,,
FP Category,Debt Service,,,,,,
FP Category,"Materials, Supplies & Equip.",,,,,,
FP Category,Payments to Other Funds,,,,,,
FP Category,Pers. Svcs.-Emp.Benefits,,,,,,
FP Category,Personal Services,,,,,,
FP Category,Purchase of Services,,,,,,
Fund,Acute Care Hospital Fund,,,,,,
Fund,Aviation Fund,,,,,,
Fund,Budget Stabilization Fund,,,,,,
Fund,Car Rental Tax Fund,,,,,,
Fund,Community Development Fund,,,,,,
Fund,County Liquid Fuels Tax Fund,,,,,,
Fund,General Fund,,,,,,
Fund,Grants Revenue Fund,,,,,,
Fund,Healthchoices Behavioral Health Revenue Fund,,,,,,
Fund,Hotel Room Rental Tax Fund,,,,,,
Fund,Housing Trust Fund,,,,,,
Fund,Municipal Pension Fund,,,,,,
Fund,Philadelphia County Demolition Fund,,,,,,
Fund,Special Gasoline Tax Fund,,,,,,
Fund,Water Fund,,,,,,
Fund,Water Residual Fund,,,,,,
