fiscal_year,fund,department,tag_peoples_budget,class,total
2019,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2550000
2019,General Fund,Atwater Kent Museum,Government Operations,Personal Services,0
2019,General Fund,Atwater Kent Museum,Government Operations,"Contrib., Indemnities & Taxes",250000
2019,General Fund,Auditing (City Controller),Government Operations,Personal Services,8650965
2019,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,376030
2019,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",24427
2019,General Fund,Board of Ethics,Government Operations,Personal Services,875033
2019,General Fund,Board of Ethics,Government Operations,Purchase of Services,43538
2019,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",7067
2019,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,928286
2019,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,34658
2019,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",15408
2019,General Fund,City Commissioners,Government Operations,Personal Services,5830533
2019,General Fund,City Commissioners,Government Operations,Purchase of Services,5028766
2019,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",5270120
2019,General Fund,City Commissioners,Government Operations,"Contrib., Indemnities & Taxes",357500
2019,General Fund,City Council,Government Operations,Personal Services,14104805
2019,General Fund,City Council,Government Operations,Purchase of Services,1931455
2019,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",499331
2019,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",1740
2019,General Fund,City Council,Government Operations,Payments to Other Funds,0
2019,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,0
2019,General Fund,City Representative,Government Operations,Personal Services,714833
2019,General Fund,City Representative,Government Operations,Purchase of Services,306555
2019,General Fund,City Representative,Government Operations,"Materials, Supplies & Equip.",12712
2019,General Fund,City Treasurer,Government Operations,Personal Services,1098380
2019,General Fund,City Treasurer,Government Operations,Purchase of Services,535106
2019,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",18925
2019,General Fund,Civil Service Commission,Government Operations,Personal Services,168597
2019,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2019,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",400
2019,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,0
2019,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,3028159
2019,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,3793746
2019,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",18398
2019,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",500000
2019,General Fund,Commerce - Convention Center Subsidy,Government Operations,Purchase of Services,15000000
2019,General Fund,Commerce - Economic Stimulus,Government Operations,Purchase of Services,21242883
2019,General Fund,District Attorney,Courts & the Justice System,Personal Services,34265564
2019,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,3427641
2019,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",1726611
2019,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",2861279
2019,General Fund,Finance,Government Operations,Personal Services,7756138
2019,General Fund,Finance,Government Operations,Purchase of Services,2828025
2019,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",73980
2019,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",6531063
2019,General Fund,Finance,Government Operations,Payments to Other Funds,141193804
2019,General Fund,Finance,Government Operations,Advances and Other Misc. Payments,0
2019,General Fund,Finance - Budget Stabilization,Government Operations,Payments to Other Funds,0
2019,General Fund,Finance - Community College Subsidy,Government Operations,"Contrib., Indemnities & Taxes",32409207
2019,General Fund,Finance - Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,1371066396
