fiscal_year,department,tag_peoples_budget,acute_care_hospital_fund,aviation_fund,car_rental_tax_fund,community_development_fund,county_liquid_fuels_tax_fund,general_fund,grants_revenue_fund,healthchoices_behavioral_health_revenue_fund,hotel_room_rental_tax_fund,housing_trust_fund,municipal_pension_fund,special_gasoline_tax_fund,water_fund,water_residual_fund,total
2019,Art Museum,Arts & Culture,0,0,0,0,0,2550000,0,0,0,0,0,0,0,0,2550000
2019,Atwater Kent Museum,Government Operations,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,250000
2019,Auditing (City Controller),Government Operations,0,0,0,0,0,8893008,200000,0,0,0,0,0,0,0,9093008
2019,Board of Ethics,Government Operations,0,0,0,0,0,1074792,0,0,0,0,0,0,0,0,1074792
2019,Board of Revision of Taxes,Government Operations,0,0,0,0,0,1046903,0,0,0,0,0,0,0,0,1046903
2019,City Commissioners,Government Operations,0,0,0,0,0,10351881,925000,0,0,0,0,0,0,0,11276881
2019,City Council,Government Operations,0,0,0,0,0,17225693,205300,0,0,0,0,0,0,0,17430993
2019,City Planning Commission,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,City Representative,Government Operations,0,0,0,0,0,1158249,0,0,0,0,0,0,0,0,1158249
2019,City Treasurer,Government Operations,0,0,0,0,0,1692315,0,0,0,0,0,0,0,0,1692315
2019,Civil Service Commission,Government Operations,0,0,0,0,0,16645428,0,0,0,0,0,0,0,0,16645428
2019,Commerce,Commercial Corridors & Small Businesses,0,199800000,0,9452618,0,6013658,10000000,0,73868000,0,0,0,0,0,299134276
2019,Commerce-Convention Center Subsidy,Commercial Corridors & Small Businesses,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,15000000
2019,Commerce-Economic Stimulus,Commercial Corridors & Small Businesses,0,0,0,0,0,2397004,0,0,0,0,0,0,0,0,2397004
2019,Department of Public Health City of Philadelphia - 26 - City of Philadelphia,Government Operations,13212408,0,0,0,0,0,0,0,0,0,0,0,0,0,13212408
2019,Department of Revenue City of Philadelphia - 14 - City of Philadelphia,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,16664500,0,16664500
2019,District Attorney,Courts & the Justice System,0,0,0,0,0,41792293,16852029,0,0,0,0,0,0,0,58644322
2019,Finance,Government Operations,75000,4146000,0,20000000,0,78363260,250000678,0,0,0,0,0,0,0,352584938
2019,Finance-Community College Subsidy,Schools & Early Childhood Education,0,0,0,0,0,32409207,0,0,0,0,0,0,0,0,32409207
2019,Finance-Employee Benefits,Government Operations,267592,63950249,0,4152814,0,1360238207,0,0,0,0,0,1000000,138140401,0,1567749263
