fiscal_year,department,tag_peoples_budget,acute_care_hospital_fund,aviation_fund,budget_stabilization_fund,car_rental_tax_fund,community_development_fund,county_liquid_fuels_tax_fund,general_fund,grants_revenue_fund,healthchoices_behavioral_health_revenue_fund,hotel_room_rental_tax_fund,housing_trust_fund,municipal_pension_fund,special_gasoline_tax_fund,water_fund,water_residual_fund,total
2021,Art Museum,Arts & Culture,0,0,0,0,0,0,2040000,0,0,0,0,0,0,0,0,2040000
2021,Atwater Kent Museum,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Auditing (City Controller),Government Operations,0,0,0,0,0,0,9568289,600000,0,0,0,0,0,0,0,10168289
2021,Board of Ethics,Government Operations,0,0,0,0,0,0,975196,0,0,0,0,0,0,0,0,975196
2021,Board of Revision of Taxes,Government Operations,0,0,0,0,0,0,1043214,0,0,0,0,0,0,0,0,1043214
2021,City Commissioners,Government Operations,0,0,0,0,0,0,12297852,350000,0,0,0,0,0,0,0,12647852
2021,City Commissioners City of Philadelphia - 20 - City of Philadelphia,Government Operations,0,0,0,0,0,0,0,2415000,0,0,0,0,0,0,0,2415000
2021,City Council,Government Operations,0,0,0,0,0,0,42282973,0,0,0,0,0,0,0,0,42282973
2021,City Council - Veterans Advisory Committee,Government Operations,0,0,0,0,0,0,0,205300,0,0,0,0,0,0,0,205300
2021,City Representative,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,City Treasurer,Government Operations,0,0,0,0,0,0,1583938,0,0,0,0,0,0,0,0,1583938
2021,Civil Service Commission,Government Operations,0,0,0,0,0,0,207742,0,0,0,0,0,0,0,0,207742
2021,Commerce,Commercial Corridors & Small Businesses,0,163726534,0,0,11152625,0,3637148,10175000,0,56623000,0,0,0,0,0,245314307
2021,Commerce - Convention Center Subsidy,Government Operations,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,15000000
2021,Commerce - Economic Stimulus,Government Operations,0,0,0,0,0,0,3015000,0,0,0,0,0,0,0,0,3015000
2021,Department of Parks and Recreation City of Philadelphia - 18 - City of Philadelphia,Government Operations,0,0,0,0,0,0,0,7875928,0,0,0,0,0,0,0,7875928
2021,Director of Finance - Fringe Benefits City of Philadelphia - 15 - City of Philadelphia,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,1000000
2021,Director of Finance - Indemnities City of Philadelphia - 13 - City of Philadelphia,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,7500000,0,7500000
2021,District Attorney,Courts & the Justice System,0,0,0,0,0,0,33376659,16829540,0,0,0,0,0,0,0,50206199
2021,Finance,Government Operations,75000,3146000,0,0,20000000,0,63724672,1000000000,0,0,0,0,0,0,0,1086945672
2021,Finance - Budget Stabilization,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Finance - Community College Subsidy,Government Operations,0,0,0,0,0,0,44110159,0,0,0,0,0,0,0,0,44110159
2021,Finance - Employee Benefits,Government Operations,0,0,0,0,0,0,1287159003,0,0,0,0,0,0,0,0,1287159003
2021,Finance - Hero Scholarship Awards,Government Operations,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,25000
2021,Finance - Indemnities,Government Operations,0,0,0,0,0,0,49246000,0,0,0,0,0,0,0,0,49246000
2021,Finance - Refunds,Government Operations,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,250000
2021,Finance - Reg #32,Government Operations,0,0,0,0,0,0,2650000,0,0,0,0,0,0,0,0,2650000
2021,Finance - School District Contribution,Government Operations,0,0,0,0,0,0,252578558,0,0,0,0,0,0,0,0,252578558
2021,Finance - Witness Fees,Government Operations,0,0,0,0,0,0,171518,0,0,0,0,0,0,0,0,171518
2021,Finance-Budget Stabilization,Government Operations,0,0,34276000,0,0,0,0,0,0,0,0,0,0,0,0,34276000
2021,Finance-Employee Benefits,Government Operations,268408,63749755,0,0,4973268,0,0,0,0,0,0,0,0,135546760,0,204538191
2021,Finance-Indemnities,Government Operations,0,2512000,0,0,0,0,0,0,0,0,0,0,0,0,0,2512000
2021,Fire,Emergency Services,0,8356892,0,0,0,0,315056258,31051733,0,0,0,0,0,0,0,354464883
2021,First Judicial District,Courts & the Justice System,0,0,0,0,0,0,116036029,57295102,0,0,0,0,0,0,0,173331131
2021,Fleet Management,Government Operations,0,0,0,0,0,0,46803724,0,0,0,0,0,0,0,0,46803724
2021,Fleet Management - Vehicle Lease/Purch.,Government Operations,0,0,0,0,0,0,9797739,0,0,0,0,0,0,0,0,9797739
2021,Free Library,Libraries,0,0,0,0,0,0,39650733,8423500,0,0,0,0,0,0,0,48074233
2021,Human Relations Commission,Government Operations,0,0,0,0,0,0,2422973,0,0,0,0,0,0,0,0,2422973
2021,Human Services,Youth Services,0,0,0,0,0,0,163090633,637985995,0,0,0,0,0,0,0,801076628
2021,L&I - Board of Building Standards,Government Operations,0,0,0,0,0,0,82018,0,0,0,0,0,0,0,0,82018
2021,L&I - Board of L&I Review,Government Operations,0,0,0,0,0,0,176071,0,0,0,0,0,0,0,0,176071
2021,Labor,Government Operations,0,0,0,0,0,0,2839104,0,0,0,0,0,0,0,0,2839104
2021,Law,Government Operations,0,1286681,0,0,195573,0,15014106,0,0,0,0,0,0,3304958,0,19801318
