fiscal_year,fund,department,tag_peoples_budget,class,total
2021,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2040000
2021,General Fund,Atwater Kent Museum,Government Operations,Personal Services,0
2021,General Fund,Atwater Kent Museum,Government Operations,"Contrib., Indemnities & Taxes",0
2021,General Fund,Auditing (City Controller),Government Operations,Personal Services,9045839
2021,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,497450
2021,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",25000
2021,General Fund,Board of Ethics,Government Operations,Personal Services,915196
2021,General Fund,Board of Ethics,Government Operations,Purchase of Services,52500
2021,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",7500
2021,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,987587
2021,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,37900
2021,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",17727
2021,General Fund,City Commissioners,Government Operations,Personal Services,6714174
2021,General Fund,City Commissioners,Government Operations,Purchase of Services,5011061
2021,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",572617
2021,General Fund,City Commissioners,Government Operations,"Contrib., Indemnities & Taxes",0
2021,General Fund,City Council,Government Operations,Personal Services,14877138
2021,General Fund,City Council,Government Operations,Purchase of Services,1976885
2021,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",428650
2021,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",25000100
2021,General Fund,City Council,Government Operations,Payments to Other Funds,100
2021,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,100
2021,General Fund,City Representative,Government Operations,Personal Services,0
2021,General Fund,City Representative,Government Operations,Purchase of Services,0
2021,General Fund,City Representative,Government Operations,"Materials, Supplies & Equip.",0
2021,General Fund,City Treasurer,Government Operations,Personal Services,1368170
2021,General Fund,City Treasurer,Government Operations,Purchase of Services,193544
2021,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",22224
2021,General Fund,Civil Service Commission,Government Operations,Personal Services,177148
2021,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2021,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",1094
2021,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,0
2021,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,2394341
2021,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,1216153
2021,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",26654
2021,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",0
2021,General Fund,Commerce - Convention Center Subsidy,Government Operations,Purchase of Services,15000000
2021,General Fund,Commerce - Economic Stimulus,Government Operations,Purchase of Services,3015000
2021,General Fund,District Attorney,Courts & the Justice System,Personal Services,30262904
2021,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,2693738
2021,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",420017
2021,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
