fiscal_year,department,tag_peoples_budget,acute_care_hospital_fund,aviation_fund,budget_stabilization_fund,car_rental_tax_fund,community_development_fund,county_liquid_fuels_tax_fund,general_fund,grants_revenue_fund,healthchoices_behavioral_health_revenue_fund,hotel_room_rental_tax_fund,housing_trust_fund,municipal_pension_fund,philadelphia_county_demolition_fund,special_gasoline_tax_fund,water_fund,water_residual_fund,total
2023,Art Museum,Arts & Culture,0,0,0,0,0,0,2040000,0,0,0,0,0,0,0,0,0,2040000
2023,Auditing (City Controller),Government Operations,0,0,0,0,0,0,10808319,400000,0,0,0,0,0,0,0,0,11208319
2023,Board of Ethics,Government Operations,0,0,0,0,0,0,1181902,0,0,0,0,0,0,0,0,0,1181902
2023,Board of Revision of Taxes,Government Operations,0,0,0,0,0,0,1113237,0,0,0,0,0,0,0,0,0,1113237
2023,City Commissioners,Government Operations,0,0,0,0,0,0,29061492,2765000,0,0,0,0,0,0,0,0,31826492
2023,City Council,Government Operations,0,0,0,0,0,0,21876395,0,0,0,0,0,0,0,0,0,21876395
2023,City Council - Veterans Advisory Committee,Government Operations,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,100000
2023,City Treasurer,Government Operations,0,0,0,0,0,0,4718290,0,0,0,0,0,0,0,0,0,4718290
2023,Civil Service Commission,Government Operations,0,0,0,0,0,0,54211582,0,0,0,0,0,0,0,0,0,54211582
2023,Commerce,Commercial Corridors & Small Businesses,0,185701366,0,0,17550857,0,15508816,10000000,0,60000000,0,0,0,0,0,0,288761039
2023,Commerce - Convention Center Subsidy,Government Operations,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,15000000
2023,Commerce - Economic Stimulus,Government Operations,0,0,0,0,0,0,13334550,0,0,0,0,0,0,0,0,0,13334550
2023,Council - Veterans Advisory Commission City of Philadelphia - 16 - City of Philadelphia,Government Operations,0,0,0,0,0,0,0,105300,0,0,0,0,0,0,0,0,105300
2023,Department of Streets City of Philadelphia - 15 - City of Philadelphia,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,39900000,0,0,39900000
2023,District Attorney,Courts & the Justice System,0,0,0,0,0,0,44344210,20680860,0,0,0,0,0,0,0,0,65025070
2023,Finance,Government Operations,75000,4800000,0,0,20000000,0,88790839,1335000257,0,0,0,0,0,0,0,0,1448666096
2023,Finance - Budget Stabilization,Government Operations,0,0,0,0,0,0,40128000,0,0,0,0,0,0,0,0,0,40128000
2023,Finance - Community College Subsidy,Government Operations,0,0,0,0,0,0,50106653,0,0,0,0,0,0,0,0,0,50106653
2023,Finance - Employee Benefits,Government Operations,0,0,0,0,0,0,1603509081,0,0,0,0,0,0,0,0,0,1603509081
2023,Finance - Hero Scholarship Awards,Government Operations,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,50000
2023,Finance - Indemnities,Government Operations,0,0,0,0,0,0,67246000,0,0,0,0,0,0,0,0,0,67246000
2023,Finance - Refunds,Government Operations,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,250000
2023,Finance - Reg #32,Government Operations,0,0,0,0,0,0,2800000,0,0,0,0,0,0,0,0,0,2800000
2023,Finance - School District Contribution,Government Operations,0,0,0,0,0,0,269953201,0,0,0,0,0,0,0,0,0,269953201
2023,Finance - Witness Fees,Government Operations,0,0,0,0,0,0,171518,0,0,0,0,0,0,0,0,0,171518
2023,Finance-Budget Stabilization,Government Operations,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2023,Finance-Employee Benefits,Government Operations,268882,57068882,0,0,5553245,0,0,0,0,0,0,0,0,1000000,138762106,0,202653115
2023,Finance-Indemnities,Government Operations,0,2512000,0,0,0,0,0,0,0,0,0,0,0,0,6000000,0,8512000
2023,Fire,Emergency Services,0,9904484,0,0,0,0,380890162,34775257,0,0,0,0,0,0,0,0,425569903
2023,First Judicial District,Courts & the Justice System,0,0,0,0,0,0,122019892,52489589,0,0,0,0,0,0,0,0,174509481
2023,Fleet Services,Government Operations,0,13255631,0,0,0,0,58241470,0,0,0,0,0,0,0,9237357,0,80734458
2023,Fleet Services - Vehicle Lease/Purch.,Government Operations,0,0,0,0,0,0,12507852,0,0,0,0,0,0,0,0,0,12507852
2023,Free Library,Libraries,0,0,0,0,0,0,58449945,8423518,0,0,0,0,0,0,0,0,66873463
2023,Human Relations Commission,Government Operations,0,0,0,0,0,0,2573736,0,0,0,0,0,0,0,0,0,2573736
2023,Human Services,Youth Services,0,0,0,0,0,0,189224595,669190541,0,0,0,0,0,0,0,0,858415136
2023,L&I - Board of Building Standards,Government Operations,0,0,0,0,0,0,84116,0,0,0,0,0,0,0,0,0,84116
2023,L&I - Board of L&I Review,Government Operations,0,0,0,0,0,0,180813,0,0,0,0,0,0,0,0,0,180813
2023,Labor,Government Operations,0,0,0,0,0,0,4004336,0,0,0,0,0,0,0,0,0,4004336
2023,Law,Government Operations,0,1630871,0,0,195573,0,21876309,0,0,0,0,0,0,0,4130719,0,27833472
2023,Licenses & Inspection,Government Operations,0,0,0,0,490303,0,41626239,0,0,0,0,0,2250000,0,0,0,44366542
2023,Managing Director,Government Operations,0,0,0,0,0,0,132637002,104766381,0,0,0,0,0,0,138550,0,237541933
2023,Managing Director - Citizens Police Oversight Commission,Government Operations,0,0,0,0,0,0,2402570,0,0,0,0,0,0,0,0,0,2402570
2023,Managing Director - Legal Services,Government Operations,0,0,0,0,0,0,59844449,0,0,0,0,0,0,0,0,0,59844449
2023,Mayor,Government Operations,0,0,0,0,0,0,0,455000,0,0,0,0,0,0,0,0,455000
2023,Mayor's Office,Government Operations,0,0,0,0,0,0,7148978,0,0,0,0,0,0,0,0,0,7148978
2023,Mayor's Office - Scholarships,Government Operations,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,100000
2023,Mural Arts Program,Arts & Culture,0,0,0,0,0,0,3281460,0,0,0,0,0,0,0,0,0,3281460
2023,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,0,0,0,0,0,0,27314238,308296758,1339178000,0,0,0,0,0,0,0,1674788996
2023,Office of Children and Families,Government Operations,0,0,0,0,0,0,463413,0,0,0,0,0,0,0,0,0,463413
2023,Office of Community Empowerment and Opportunity,Immigration Services,0,0,0,0,0,0,1895000,37390254,0,0,0,0,0,0,0,0,39285254
2023,Office of Homeless Services,Housing & Homeless Services,0,0,0,0,0,0,68946658,48196249,0,0,0,0,0,0,0,0,117142907
2023,Office of Human Resources,Government Operations,0,0,0,0,0,0,7418259,0,0,0,0,0,0,0,0,0,7418259
2023,Office of Innovation and Technology,Government Operations,0,2719956,0,0,0,0,91632802,50330900,0,0,0,0,0,0,35235379,0,179919037
2023,Office of Innovation and Technology - 911,Government Operations,0,0,0,0,0,0,29631412,0,0,0,0,0,0,0,0,0,29631412
2023,Office of Property Assessment,Government Operations,0,0,0,0,0,0,17858376,0,0,0,0,0,0,0,0,0,17858376
2023,Office of Sustainability,Government Operations,0,110873,0,0,0,0,1664001,602500,0,0,0,0,0,0,132874,0,2510248
2023,Office of the Chief Administrative Officer,Government Operations,0,0,0,0,0,0,14877756,0,0,0,0,0,0,0,0,0,14877756
2023,Office of the Inspector General,Government Operations,0,0,0,0,0,0,2296063,0,0,0,0,0,0,0,0,0,2296063
2023,Parks and Recreation,Parks & Recreation,0,0,0,0,0,0,73136403,13421890,0,0,0,0,0,0,0,0,86558293
2023,Planning and Development,Housing & Homeless Services,0,0,0,0,68538022,0,30213137,112163872,0,0,81142000,0,0,0,0,0,292057031
2023,Police,Police,0,16144351,0,0,0,0,788044264,5404180,0,0,0,0,0,0,0,0,809592795
2023,Police Department City of Philadelphia - 17 - City of Philadelphia,Government Operations,0,0,0,0,0,0,0,11753699,0,0,0,0,0,0,0,0,11753699
2023,Prisons,Courts & the Justice System,0,0,0,0,0,0,246110502,0,0,0,0,0,0,0,0,0,246110502
2023,Procurement,Government Operations,0,0,0,0,0,0,6874776,0,0,0,0,0,0,0,113720,0,6988496
2023,Public Health,Public Health Centers,259357118,0,0,0,0,0,161209808,390078495,0,0,0,0,0,0,0,0,810645421
2023,Public Property,Government Operations,0,0,0,0,0,0,78182271,0,0,0,0,0,0,0,4612169,0,82794440
2023,Public Property - SEPTA Subsidy,Government Operations,0,0,0,0,0,0,100699000,0,0,0,0,0,0,0,0,0,100699000
2023,Public Property - Space Rentals,Government Operations,0,0,0,0,0,0,33293144,0,0,0,0,0,0,0,0,0,33293144
2023,Public Property - Utilities,Government Operations,0,0,0,0,0,0,32986853,0,0,0,0,0,0,0,0,0,32986853
2023,Public Property-Utilities,Government Operations,0,14000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000000
2023,Records,Government Operations,0,0,0,0,0,0,4277078,0,0,0,0,0,0,0,0,0,4277078
2023,Register of Wills,Government Operations,0,0,0,0,0,0,4856966,200000,0,0,0,0,0,0,0,0,5056966
2023,Revenue,Government Operations,45000,0,0,0,0,0,27808577,19650000,0,0,0,0,0,0,17236680,0,64740257
2023,Sanitation,Trash & Sanitation,0,0,0,0,0,0,162449826,0,0,0,0,0,0,0,0,0,162449826
2023,Sanitation - Disposal,Government Operations,0,0,0,0,0,0,55389886,0,0,0,0,0,0,0,0,0,55389886
2023,Sheriff,Courts & the Justice System,0,0,0,0,0,0,30853801,0,0,0,0,0,0,0,0,0,30853801
2023,Sinking Fund Commission (Debt Service),Government Operations,0,119361583,0,7000000,0,0,308797721,0,0,0,2750000,13902000,0,0,200992399,0,652803703
2023,Streets,Streets,0,0,0,0,0,10873000,0,57247500,0,0,0,0,0,0,0,0,68120500
2023,Water,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416235047,32994000,449229047
2023,Water Department City of Philadelphia - 13 - City of Philadelphia,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51071000,0,51071000
