fiscal_year,fund,department,tag_peoples_budget,class,total
2023,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2040000
2023,General Fund,Auditing (City Controller),Government Operations,Personal Services,10300191
2023,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,497450
2023,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",25000
2023,General Fund,Board of Ethics,Government Operations,Personal Services,1082835
2023,General Fund,Board of Ethics,Government Operations,Purchase of Services,97500
2023,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",7500
2023,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,1064422
2023,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,62900
2023,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",17727
2023,General Fund,City Commissioners,Government Operations,Personal Services,9909921
2023,General Fund,City Commissioners,Government Operations,Purchase of Services,12408992
2023,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",6753604
2023,General Fund,City Commissioners,Government Operations,"Contrib., Indemnities & Taxes",0
2023,General Fund,City Council,Government Operations,Personal Services,16419316
2023,General Fund,City Council,Government Operations,Purchase of Services,4821885
2023,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",728650
2023,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",100
2023,General Fund,City Council,Government Operations,Payments to Other Funds,100
2023,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,100
2023,General Fund,City Treasurer,Government Operations,Personal Services,1586929
2023,General Fund,City Treasurer,Government Operations,Purchase of Services,3116468
2023,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",22224
2023,General Fund,Civil Service Commission,Government Operations,Personal Services,180988
2023,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2023,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",1094
2023,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,0
2023,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,5336080
2023,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,9660549
