fiscal_year,fund,department,class,total
2025,General Fund,Art Museum,"Contrib., Indemnities & Taxes",2642000
2025,General Fund,Auditing (City Controller),Personal Services,10855618
2025,General Fund,Auditing (City Controller),Purchase of Services,814783
2025,General Fund,Auditing (City Controller),"Materials, Supplies & Equip.",37800
2025,General Fund,Board of Ethics,Personal Services,1239258
2025,General Fund,Board of Ethics,Purchase of Services,42877
2025,General Fund,Board of Ethics,"Materials, Supplies & Equip.",1985
2025,General Fund,Board of Revision of Taxes,Personal Services,1164238
2025,General Fund,Board of Revision of Taxes,Purchase of Services,69850
2025,General Fund,Board of Revision of Taxes,"Materials, Supplies & Equip.",12308
2025,General Fund,Citizens Police Oversight Commission,Personal Services,0
2025,General Fund,Citizens Police Oversight Commission,Purchase of Services,0
2025,General Fund,Citizens Police Oversight Commission,"Materials, Supplies & Equip.",0
2025,General Fund,City Commissioners,Personal Services,14089613
2025,General Fund,City Commissioners,Purchase of Services,18121641
2025,General Fund,City Commissioners,"Materials, Supplies & Equip.",4890868
2025,General Fund,City Commissioners,"Contrib., Indemnities & Taxes",1000
2025,General Fund,City Council,Personal Services,18235179
2025,General Fund,City Council,Purchase of Services,4027852
2025,General Fund,City Council,"Materials, Supplies & Equip.",737771
2025,General Fund,City Council,"Contrib., Indemnities & Taxes",0
2025,General Fund,City Council,Payments to Other Funds,0
2025,General Fund,City Council,Advances and Other Misc. Payments,0
2025,General Fund,City Representative,Personal Services,0
2025,General Fund,City Representative,Purchase of Services,0
2025,General Fund,City Representative,"Materials, Supplies & Equip.",0
2025,General Fund,City Treasurer,Personal Services,1879805
2025,General Fund,City Treasurer,Purchase of Services,1623408
2025,General Fund,City Treasurer,"Materials, Supplies & Equip.",18122
2025,General Fund,Civil Service Commission,Personal Services,163334
2025,General Fund,Civil Service Commission,Purchase of Services,29500
2025,General Fund,Civil Service Commission,"Materials, Supplies & Equip.",0
2025,General Fund,Civil Service Commission,Advances and Other Misc. Payments,0
2025,General Fund,Commerce,Personal Services,5146082
2025,General Fund,Commerce,Purchase of Services,11074576
2025,General Fund,Commerce,"Materials, Supplies & Equip.",34027
2025,General Fund,Commerce,"Contrib., Indemnities & Taxes",1000000
2025,General Fund,Commerce-Convention Center Subsidy,Purchase of Services,15000000
2025,General Fund,Commerce-Economic Stimulus,Purchase of Services,35004294
2025,General Fund,District Attorney,Personal Services,53432721
2025,General Fund,District Attorney,Purchase of Services,3254563
2025,General Fund,District Attorney,"Materials, Supplies & Equip.",828631
2025,General Fund,District Attorney,"Contrib., Indemnities & Taxes",183750
2025,General Fund,Finance,Personal Services,12150436
2025,General Fund,Finance,Purchase of Services,2246542
2025,General Fund,Finance,"Materials, Supplies & Equip.",45754
2025,General Fund,Finance,"Contrib., Indemnities & Taxes",30564016
2025,General Fund,Finance,Payments to Other Funds,2925000
2025,General Fund,Finance,Advances and Other Misc. Payments,0
2025,General Fund,Finance-Budget Stabilization,Payments to Other Funds,58291000
2025,General Fund,Finance-Community College Subsidy,"Contrib., Indemnities & Taxes",56003181
2025,General Fund,Finance-Employee Benefits,Pers. Svcs.-Emp.Benefits,1625686168
2025,General Fund,Finance-Hero Scholarship Awards,"Contrib., Indemnities & Taxes",0
2025,General Fund,Finance-Payment to Housing Trust Fund,Payments to Other Funds,31390926
2025,General Fund,Finance-Indemnities,"Contrib., Indemnities & Taxes",0
2025,General Fund,Finance-Reg #32,Personal Services,13509960
2025,General Fund,Finance-Refunds,"Contrib., Indemnities & Taxes",33220
2025,General Fund,Finance-School District Contribution,"Contrib., Indemnities & Taxes",284052590
2025,General Fund,Finance-Witness Fees,Purchase of Services,188549
2025,General Fund,Fire,Personal Services,402309895
2025,General Fund,Fire,Purchase of Services,11867631
2025,General Fund,Fire,"Materials, Supplies & Equip.",14318311
2025,General Fund,Fire,"Contrib., Indemnities & Taxes",1783089
2025,General Fund,Fire,Payments to Other Funds,8248000
2025,General Fund,First Judicial District,Personal Services,112665985
2025,General Fund,First Judicial District,Purchase of Services,21573933
2025,General Fund,First Judicial District,"Materials, Supplies & Equip.",2343460
2025,General Fund,First Judicial District,"Contrib., Indemnities & Taxes",715
2025,General Fund,Fleet Services,Personal Services,22511171
2025,General Fund,Fleet Services,Purchase of Services,7548797
2025,General Fund,Fleet Services,"Materials, Supplies & Equip.",29784792
2025,General Fund,Fleet Services -Vehicle Lease/Purch.,"Materials, Supplies & Equip.",25343082
2025,General Fund,Free Library,Personal Services,55374187
2025,General Fund,Free Library,Purchase of Services,3657025
2025,General Fund,Free Library,"Materials, Supplies & Equip.",8383626
2025,General Fund,Free Library,"Contrib., Indemnities & Taxes",102008
2025,General Fund,Human Relations Commission,Personal Services,2674280
2025,General Fund,Human Relations Commission,Purchase of Services,56179
2025,General Fund,Human Relations Commission,"Materials, Supplies & Equip.",21342
2025,General Fund,Human Services,Personal Services,33029159
