department,acute_care_hospital_fund,aviation_fund,budget_stabilization_fund,car_rental_tax_fund,community_development_fund,county_liquid_fuels_tax_fund,general_fund,grants_revenue_fund,healthchoices_behavioral_health_revenue_fund,hotel_room_rental_tax_fund,housing_trust_fund,municipal_pension_fund,philadelphia_county_demolition_fund,special_gasoline_tax_fund,water_fund,water_residual_fund,total
Art Museum,0,0,0,0,0,0,2342000,0,0,0,0,0,0,0,0,0,2342000
Auditing (City Controller),0,0,0,0,0,0,11756134,300000,0,0,0,0,0,0,0,0,12056134
Aviation,0,284029000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284029000
Board of Ethics,0,0,0,0,0,0,1427043,0,0,0,0,0,0,0,0,0,1427043
Board of Revision of Taxes,0,0,0,0,0,0,1252626,0,0,0,0,0,0,0,0,0,1252626
Citizens Police Oversight Commission,0,0,0,0,0,0,3106032,0,0,0,0,0,0,0,0,0,3106032
City Commissioners,0,0,0,0,0,0,29114078,8715000,0,0,0,0,0,0,0,0,37829078
City Council,0,0,0,0,0,0,26459353,205300,0,0,0,0,0,0,0,0,26664653
City Representative,0,0,0,0,0,0,3242182,0,0,0,0,0,0,0,0,0,3242182
City Treasurer,0,0,0,0,0,0,5361799,0,0,0,0,0,0,0,2650000,0,8011799
Civil Service Commission,0,0,0,0,0,0,101796019,0,0,0,0,0,0,0,0,0,101796019
Commerce,0,0,0,0,20404729,0,16513421,12500000,0,97200000,0,0,0,0,0,0,146618150
Commerce-Convention Center Subsidy,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,15000000
Commerce-Economic Stimulus,0,0,0,0,0,0,101365294,0,0,0,0,0,0,0,0,0,101365294
Department Of Fleet Services -Vehicle Purchase,0,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000
Department Of Sanitation,0,0,0,0,0,0,0,8936399,0,0,0,0,0,2972488,0,0,11908887
Director Of Finance-Fringe Benefits,0,0,0,0,7096680,0,0,0,0,0,0,0,0,0,0,0,7096680
District Attorney,0,0,0,0,0,0,59312464,20667362,0,0,0,0,0,0,0,0,79979826
Finance,75000,5000000,0,0,20000000,0,81829341,1030000292,0,0,0,0,0,0,0,0,1136904633
Finance-Budget Stabilization,0,0,100,0,0,0,58860000,0,0,0,0,0,0,0,0,0,58860100
Finance-Community College Subsidy,0,0,0,0,0,0,54003181,0,0,0,0,0,0,0,0,0,54003181
Finance-Employee Benefits,285994,61843730,0,0,0,0,1745587635,0,0,0,0,0,0,1000000,158554641,0,1967272000
Finance-Hero Scholarship Awards,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,150000
Finance-Indemnities,0,2512000,0,0,0,0,61246000,0,0,0,0,0,0,0,6500000,0,70258000
Finance-Payment to Housing Trust Fund,0,0,0,0,0,0,34044031,0,0,0,0,0,0,0,0,0,34044031
Finance-Refunds,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,250000
Finance-Reg #32,0,0,0,0,0,0,12200000,0,0,0,0,0,0,0,0,0,12200000
Finance-School District Contribution,0,0,0,0,0,0,284052590,0,0,0,0,0,0,0,0,0,284052590
Finance-Witness Fees,0,0,0,0,0,0,260094,0,0,0,0,0,0,0,0,0,260094
Fire,0,11680696,0,0,0,0,444221835,29276179,0,0,0,0,0,0,0,0,485178710
First Judicial District,0,0,0,0,0,0,132912092,54223332,0,0,0,0,0,0,0,0,187135424
Fleet Services,0,4062385,0,0,0,0,61499959,0,0,0,0,0,0,0,10270469,0,75832813
Fleet Services -Vehicle Lease/Purch.,0,0,0,0,0,0,16359245,0,0,0,0,0,0,0,0,0,16359245
Free Library,0,0,0,0,0,0,74664588,12229191,0,0,0,0,0,0,0,0,86893779
Human Relations Commission,0,0,0,0,0,0,2920858,0,0,0,0,0,0,0,0,0,2920858
Human Services,0,0,0,0,0,0,229471901,745444808,0,0,0,0,0,0,0,0,974916709
L&I-Board of Building Standards,0,0,0,0,0,0,90074,0,0,0,0,0,0,0,0,0,90074
L&I-Board of L&I Review,0,0,0,0,0,0,187369,0,0,0,0,0,0,0,0,0,187369
Labor,0,0,0,0,0,0,5747325,0,0,0,0,0,0,0,0,0,5747325
Law,0,2006547,0,0,195573,0,36680253,0,0,0,0,0,0,0,4742639,0,43625012
Licenses & Inspection,0,0,0,0,490303,0,45991326,0,0,0,0,0,1000000,0,0,0,47481629
