fiscal_year,fund,department,class,total
2026,General Fund,Art Museum,"Contrib., Indemnities & Taxes",2342000
2026,General Fund,Auditing (City Controller),Personal Services,11007561
2026,General Fund,Auditing (City Controller),Purchase of Services,708573
2026,General Fund,Auditing (City Controller),"Materials, Supplies & Equip.",40000
2026,General Fund,Board of Ethics,Personal Services,1367043
2026,General Fund,Board of Ethics,Purchase of Services,52500
2026,General Fund,Board of Ethics,"Materials, Supplies & Equip.",7500
2026,General Fund,Board of Revision of Taxes,Personal Services,1164218
2026,General Fund,Board of Revision of Taxes,Purchase of Services,70681
2026,General Fund,Board of Revision of Taxes,"Materials, Supplies & Equip.",17727
2026,General Fund,Citizens Police Oversight Commission,Personal Services,2656030
2026,General Fund,Citizens Police Oversight Commission,Purchase of Services,438002
2026,General Fund,Citizens Police Oversight Commission,"Materials, Supplies & Equip.",12000
2026,General Fund,City Commissioners,Personal Services,12190244
2026,General Fund,City Commissioners,Purchase of Services,13740101
2026,General Fund,City Commissioners,"Materials, Supplies & Equip.",3183733
2026,General Fund,City Commissioners,"Contrib., Indemnities & Taxes",0
2026,General Fund,City Council,Personal Services,21268492
2026,General Fund,City Council,Purchase of Services,4372979
2026,General Fund,City Council,"Materials, Supplies & Equip.",817582
2026,General Fund,City Council,"Contrib., Indemnities & Taxes",100
2026,General Fund,City Council,Payments to Other Funds,100
2026,General Fund,City Council,Advances and Other Misc. Payments,100
2026,General Fund,City Representative,Personal Services,1794682
2026,General Fund,City Representative,Purchase of Services,1252500
2026,General Fund,City Representative,"Materials, Supplies & Equip.",195000
2026,General Fund,City Treasurer,Personal Services,1966172
2026,General Fund,City Treasurer,Purchase of Services,3351903
2026,General Fund,City Treasurer,"Materials, Supplies & Equip.",43724
2026,General Fund,Civil Service Commission,Personal Services,188425
2026,General Fund,Civil Service Commission,Purchase of Services,29500
2026,General Fund,Civil Service Commission,"Materials, Supplies & Equip.",1094
2026,General Fund,Civil Service Commission,Advances and Other Misc. Payments,101577000
2026,General Fund,Commerce,Personal Services,7251854
2026,General Fund,Commerce,Purchase of Services,8574913
2026,General Fund,Commerce,"Materials, Supplies & Equip.",181654
2026,General Fund,Commerce,"Contrib., Indemnities & Taxes",505000
2026,General Fund,Commerce-Convention Center Subsidy,Purchase of Services,15000000
2026,General Fund,Commerce-Economic Stimulus,Purchase of Services,101365294
2026,General Fund,District Attorney,Personal Services,53718003
2026,General Fund,District Attorney,Purchase of Services,4762186
2026,General Fund,District Attorney,"Materials, Supplies & Equip.",832275
2026,General Fund,District Attorney,"Contrib., Indemnities & Taxes",0
2026,General Fund,Finance,Personal Services,19148552
2026,General Fund,Finance,Purchase of Services,6719101
2026,General Fund,Finance,"Materials, Supplies & Equip.",47024
2026,General Fund,Finance,"Contrib., Indemnities & Taxes",53746603
2026,General Fund,Finance,Payments to Other Funds,2168061
2026,General Fund,Finance,Advances and Other Misc. Payments,0
2026,General Fund,Finance-Budget Stabilization,Payments to Other Funds,58860000
2026,General Fund,Finance-Community College Subsidy,"Contrib., Indemnities & Taxes",54003181
2026,General Fund,Finance-Employee Benefits,Pers. Svcs.-Emp.Benefits,1745587635
2026,General Fund,Finance-Hero Scholarship Awards,"Contrib., Indemnities & Taxes",150000
2026,General Fund,Finance-Payment to Housing Trust Fund,Payments to Other Funds,34044031
2026,General Fund,Finance-Indemnities,"Contrib., Indemnities & Taxes",61246000
2026,General Fund,Finance-Reg #32,Personal Services,12200000
2026,General Fund,Finance-Refunds,"Contrib., Indemnities & Taxes",250000
2026,General Fund,Finance-School District Contribution,"Contrib., Indemnities & Taxes",284052590
2026,General Fund,Finance-Witness Fees,Purchase of Services,260094
2026,General Fund,Fire,Personal Services,392110292
2026,General Fund,Fire,Purchase of Services,20250034
2026,General Fund,Fire,"Materials, Supplies & Equip.",23283589
2026,General Fund,Fire,"Contrib., Indemnities & Taxes",0
2026,General Fund,Fire,Payments to Other Funds,8577920
2026,General Fund,First Judicial District,Personal Services,121493440
2026,General Fund,First Judicial District,Purchase of Services,9075191
2026,General Fund,First Judicial District,"Materials, Supplies & Equip.",2343461
2026,General Fund,First Judicial District,"Contrib., Indemnities & Taxes",0
2026,General Fund,Fleet Services,Personal Services,22978157
2026,General Fund,Fleet Services,Purchase of Services,7530287
2026,General Fund,Fleet Services,"Materials, Supplies & Equip.",30991515
