department,tag_peoples_budget,acute_care_hospital_fund,aviation_fund,budget_stabilization_fund,car_rental_tax_fund,community_development_fund,county_liquid_fuels_tax_fund,general_fund,grants_revenue_fund,healthchoices_behavioral_health_revenue_fund,hotel_room_rental_tax_fund,housing_trust_fund,municipal_pension_fund,philadelphia_county_demolition_fund,special_gasoline_tax_fund,water_fund,water_residual_fund,total
Art Museum,Arts & Culture,0,0,0,0,0,0,2142000,0,0,0,0,0,0,0,0,0,2142000
Auditing (City Controller),Government Operations,0,0,0,0,0,0,12292040,300000,0,0,0,0,0,0,0,0,12592040
Aviation,Government Operations,0,294479000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294479000
Board of Ethics,Government Operations,0,0,0,0,0,0,1511997,0,0,0,0,0,0,0,0,0,1511997
Board of Revision of Taxes,Government Operations,0,0,0,0,0,0,1251282,0,0,0,0,0,0,0,0,0,1251282
Citizens Police Oversight Commission,Police,0,0,0,0,0,0,3141623,0,0,0,0,0,0,0,0,0,3141623
City Commissioners,Government Operations,0,0,0,0,0,0,29738158,5850000,0,0,0,0,0,0,0,0,35588158
City Council,Government Operations,0,0,0,0,0,0,26756421,205300,0,0,0,0,0,0,0,0,26961721
City Representative,Government Operations,0,0,0,0,0,0,3440992,0,0,0,0,0,0,0,0,0,3440992
City Treasurer,Government Operations,0,0,0,0,0,0,5384350,0,0,0,0,0,0,0,2650000,0,8034350
Civil Service Commission,Government Operations,0,0,0,0,0,0,39535856,0,0,0,0,0,0,0,0,0,39535856
Commerce,Commercial Corridors & Small Businesses,0,0,0,0,19350979,0,16115755,8022000,0,97200000,0,0,0,0,0,0,140688734
Commerce-Convention Center Subsidy,Commercial Corridors & Small Businesses,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,15000000
Commerce-Economic Stimulus,Commercial Corridors & Small Businesses,0,0,0,0,0,0,90415294,0,0,0,0,0,0,0,0,0,90415294
District Attorney,Courts & the Justice System,0,0,0,0,0,0,60083072,15484900,0,0,0,0,0,0,0,0,75567972
Finance,Government Operations,75000,5000000,0,0,20000000,0,41161557,1019782740,0,0,0,0,0,0,0,0,1086019297
Finance-Budget Stabilization,Government Operations,0,0,100,0,0,0,52484000,0,0,0,0,0,0,0,0,0,52484100
Finance-Community College Subsidy,Schools & Early Childhood Education,0,0,0,0,0,0,55853181,0,0,0,0,0,0,0,0,0,55853181
Finance-Employee Benefits,Government Operations,286501,65259233,0,0,7553891,0,1821169058,0,0,0,0,0,0,1000000,159665962,0,2054934645
Finance-Hero Scholarship Awards,Schools & Early Childhood Education,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,150000
Finance-Indemnities,Government Operations,0,3512000,0,0,0,0,61278421,0,0,0,0,0,0,0,7000000,0,71790421
Finance-Payment to Housing Trust Fund,Housing & Homeless Services,0,0,0,0,0,0,34668215,0,0,0,0,0,0,0,0,0,34668215
Finance-Refunds,Government Operations,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,250000
Finance-Reg #32,Government Operations,0,0,0,0,0,0,8000000,0,0,0,0,0,0,0,0,0,8000000
Finance-School District Contribution,Schools & Early Childhood Education,0,0,0,0,0,0,284052590,0,0,0,0,0,0,0,0,0,284052590
Finance-Witness Fees,Government Operations,0,0,0,0,0,0,260094,0,0,0,0,0,0,0,0,0,260094
Fire,Emergency Services,0,12102111,0,0,0,0,460875843,30951179,0,0,0,0,0,0,0,0,503929133
First Judicial District,Courts & the Justice System,0,0,0,0,0,0,138438813,56585083,0,0,0,0,0,0,0,0,195023896
Fleet Services,Government Operations,0,4208297,0,0,0,0,60800316,0,0,0,0,0,0,0,10494236,0,75502849
Fleet Services -Vehicle Lease/Purch.,Government Operations,0,3000000,0,0,0,0,15359245,0,0,0,0,0,0,0,0,0,18359245
Free Library,Libraries,0,0,0,0,0,0,78259130,13214187,0,0,0,0,0,0,0,0,91473317
Human Relations Commission,Government Operations,0,0,0,0,0,0,3209942,0,0,0,0,0,0,0,0,0,3209942
Human Services,Youth Services,0,0,0,0,0,0,234515410,767574644,0,0,0,0,0,0,0,0,1002090054
L&I-Board of Building Standards,Government Operations,0,0,0,0,0,0,94904,0,0,0,0,0,0,0,0,0,94904
L&I-Board of L&I Review,Government Operations,0,0,0,0,0,0,194770,0,0,0,0,0,0,0,0,0,194770
