fiscal_year,fund,department,tag_peoples_budget,class,total
2027,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2142000
2027,General Fund,Auditing (City Controller),Government Operations,Personal Services,11643467
2027,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,608573
2027,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",40000
2027,General Fund,Board of Ethics,Government Operations,Personal Services,1451997
2027,General Fund,Board of Ethics,Government Operations,Purchase of Services,52500
2027,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",7500
2027,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,1180874
2027,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,52681
2027,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",17727
2027,General Fund,Citizens Police Oversight Commission,Police,Personal Services,2661621
2027,General Fund,Citizens Police Oversight Commission,Police,Purchase of Services,438002
2027,General Fund,Citizens Police Oversight Commission,Police,"Materials, Supplies & Equip.",42000
2027,General Fund,City Commissioners,Government Operations,Personal Services,12831524
2027,General Fund,City Commissioners,Government Operations,Purchase of Services,13740101
2027,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",3166533
2027,General Fund,City Commissioners,Government Operations,"Contrib., Indemnities & Taxes",0
2027,General Fund,City Council,Government Operations,Personal Services,21565560
2027,General Fund,City Council,Government Operations,Purchase of Services,4372979
2027,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",817582
2027,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",100
2027,General Fund,City Council,Government Operations,Payments to Other Funds,100
2027,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,100
2027,General Fund,City Representative,Government Operations,Personal Services,2068492
2027,General Fund,City Representative,Government Operations,Purchase of Services,1202500
2027,General Fund,City Representative,Government Operations,"Materials, Supplies & Equip.",170000
2027,General Fund,City Treasurer,Government Operations,Personal Services,2038723
2027,General Fund,City Treasurer,Government Operations,Purchase of Services,3301903
2027,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",43724
2027,General Fund,Civil Service Commission,Government Operations,Personal Services,196262
2027,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2027,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",1094
2027,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,39309000
2027,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,7447173
2027,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,7981928
2027,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",181654
2027,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",505000
2027,General Fund,Commerce - Convention Center Subsidy,Government Operations,Purchase of Services,15000000
2027,General Fund,Commerce - Economic Stimulus,Government Operations,Purchase of Services,90415294
2027,General Fund,District Attorney,Courts & the Justice System,Personal Services,55408611
2027,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,3842186
2027,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",832275
2027,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2027,General Fund,Finance,Government Operations,Personal Services,17315813
2027,General Fund,Finance,Government Operations,Purchase of Services,5770620
2027,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",567024
2027,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",15008000
2027,General Fund,Finance,Government Operations,Payments to Other Funds,2500000
2027,General Fund,Finance,Government Operations,Advances and Other Misc. Payments,100
2027,General Fund,Finance - Budget Stabilization,Government Operations,Payments to Other Funds,52484000
2027,General Fund,Finance - Community College Subsidy,Government Operations,"Contrib., Indemnities & Taxes",55853181
2027,General Fund,Finance - Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,1821169058
2027,General Fund,Finance - Hero Scholarship Awards,Government Operations,"Contrib., Indemnities & Taxes",150000
2027,General Fund,Finance - Payment to Housing Trust Fund,Government Operations,Payments to Other Funds,34668215
2027,General Fund,Finance - Indemnities,Government Operations,"Contrib., Indemnities & Taxes",61278421
2027,General Fund,Finance - Reg #32,Government Operations,Personal Services,8000000
2027,General Fund,Finance - Refunds,Government Operations,"Contrib., Indemnities & Taxes",250000
2027,General Fund,Finance - School District Contribution,Government Operations,"Contrib., Indemnities & Taxes",284052590
