fiscal_year,fund,department,class,total
FY2025 Actual,General Fund,Art Museum,"Contrib., Indemnities & Taxes",2642000
FY2026 Adopted,General Fund,Art Museum,"Contrib., Indemnities & Taxes",2342000
FY2026 Estimated,General Fund,Art Museum,"Contrib., Indemnities & Taxes",2342000
FY2027 Proposed,General Fund,Art Museum,"Contrib., Indemnities & Taxes",2142000
FY2025 Actual,General Fund,Auditing (City Controller),Personal Services,10855618
FY2026 Adopted,General Fund,Auditing (City Controller),Personal Services,11007561
FY2026 Estimated,General Fund,Auditing (City Controller),Personal Services,11377564
FY2027 Proposed,General Fund,Auditing (City Controller),Personal Services,11643467
FY2025 Actual,General Fund,Auditing (City Controller),Purchase of Services,814783
FY2026 Adopted,General Fund,Auditing (City Controller),Purchase of Services,708573
FY2026 Estimated,General Fund,Auditing (City Controller),Purchase of Services,708573
FY2027 Proposed,General Fund,Auditing (City Controller),Purchase of Services,608573
FY2025 Actual,General Fund,Auditing (City Controller),"Materials, Supplies & Equip.",37800
FY2026 Adopted,General Fund,Auditing (City Controller),"Materials, Supplies & Equip.",40000
FY2026 Estimated,General Fund,Auditing (City Controller),"Materials, Supplies & Equip.",40000
FY2027 Proposed,General Fund,Auditing (City Controller),"Materials, Supplies & Equip.",40000
FY2025 Actual,General Fund,Board of Ethics,Personal Services,1239258
FY2026 Adopted,General Fund,Board of Ethics,Personal Services,1367043
FY2026 Estimated,General Fund,Board of Ethics,Personal Services,1385853
FY2027 Proposed,General Fund,Board of Ethics,Personal Services,1451997
FY2025 Actual,General Fund,Board of Ethics,Purchase of Services,42877
FY2026 Adopted,General Fund,Board of Ethics,Purchase of Services,52500
FY2026 Estimated,General Fund,Board of Ethics,Purchase of Services,52500
FY2027 Proposed,General Fund,Board of Ethics,Purchase of Services,52500
FY2025 Actual,General Fund,Board of Ethics,"Materials, Supplies & Equip.",1985
FY2026 Adopted,General Fund,Board of Ethics,"Materials, Supplies & Equip.",7500
FY2026 Estimated,General Fund,Board of Ethics,"Materials, Supplies & Equip.",7500
FY2027 Proposed,General Fund,Board of Ethics,"Materials, Supplies & Equip.",7500
FY2025 Actual,General Fund,Board of Revision of Taxes,Personal Services,1164238
FY2026 Adopted,General Fund,Board of Revision of Taxes,Personal Services,1164218
FY2026 Estimated,General Fund,Board of Revision of Taxes,Personal Services,1192803
FY2027 Proposed,General Fund,Board of Revision of Taxes,Personal Services,1180874
FY2025 Actual,General Fund,Board of Revision of Taxes,Purchase of Services,69850
FY2026 Adopted,General Fund,Board of Revision of Taxes,Purchase of Services,70681
FY2026 Estimated,General Fund,Board of Revision of Taxes,Purchase of Services,80681
FY2027 Proposed,General Fund,Board of Revision of Taxes,Purchase of Services,52681
FY2025 Actual,General Fund,Board of Revision of Taxes,"Materials, Supplies & Equip.",12308
FY2026 Adopted,General Fund,Board of Revision of Taxes,"Materials, Supplies & Equip.",17727
FY2026 Estimated,General Fund,Board of Revision of Taxes,"Materials, Supplies & Equip.",17727
FY2027 Proposed,General Fund,Board of Revision of Taxes,"Materials, Supplies & Equip.",17727
FY2025 Actual,General Fund,Citizens Police Oversight Commission,Personal Services,0
FY2026 Adopted,General Fund,Citizens Police Oversight Commission,Personal Services,2656030
FY2026 Estimated,General Fund,Citizens Police Oversight Commission,Personal Services,2651366
FY2027 Proposed,General Fund,Citizens Police Oversight Commission,Personal Services,2661621
FY2025 Actual,General Fund,Citizens Police Oversight Commission,Purchase of Services,0
FY2026 Adopted,General Fund,Citizens Police Oversight Commission,Purchase of Services,438002
FY2026 Estimated,General Fund,Citizens Police Oversight Commission,Purchase of Services,438002
FY2027 Proposed,General Fund,Citizens Police Oversight Commission,Purchase of Services,438002
FY2025 Actual,General Fund,Citizens Police Oversight Commission,"Materials, Supplies & Equip.",0
FY2026 Adopted,General Fund,Citizens Police Oversight Commission,"Materials, Supplies & Equip.",12000
FY2026 Estimated,General Fund,Citizens Police Oversight Commission,"Materials, Supplies & Equip.",42000
FY2027 Proposed,General Fund,Citizens Police Oversight Commission,"Materials, Supplies & Equip.",42000
FY2025 Actual,General Fund,City Commissioners,Personal Services,14089613
FY2026 Adopted,General Fund,City Commissioners,Personal Services,12190244
FY2026 Estimated,General Fund,City Commissioners,Personal Services,12737991
FY2027 Proposed,General Fund,City Commissioners,Personal Services,12831524
FY2025 Actual,General Fund,City Commissioners,Purchase of Services,18121641
FY2026 Adopted,General Fund,City Commissioners,Purchase of Services,13740101
FY2026 Estimated,General Fund,City Commissioners,Purchase of Services,14107335
FY2027 Proposed,General Fund,City Commissioners,Purchase of Services,13740101
FY2025 Actual,General Fund,City Commissioners,"Materials, Supplies & Equip.",4890868
FY2026 Adopted,General Fund,City Commissioners,"Materials, Supplies & Equip.",3183733
FY2026 Estimated,General Fund,City Commissioners,"Materials, Supplies & Equip.",5282792
FY2027 Proposed,General Fund,City Commissioners,"Materials, Supplies & Equip.",3166533
FY2025 Actual,General Fund,City Commissioners,"Contrib., Indemnities & Taxes",1000
FY2026 Adopted,General Fund,City Commissioners,"Contrib., Indemnities & Taxes",0
FY2026 Estimated,General Fund,City Commissioners,"Contrib., Indemnities & Taxes",0
FY2027 Proposed,General Fund,City Commissioners,"Contrib., Indemnities & Taxes",0
FY2025 Actual,General Fund,City Council,Personal Services,18235179
FY2026 Adopted,General Fund,City Council,Personal Services,21268492
FY2026 Estimated,General Fund,City Council,Personal Services,21491293
FY2027 Proposed,General Fund,City Council,Personal Services,21565560
FY2025 Actual,General Fund,City Council,Purchase of Services,4027852
FY2026 Adopted,General Fund,City Council,Purchase of Services,4372979
FY2026 Estimated,General Fund,City Council,Purchase of Services,4372979
FY2027 Proposed,General Fund,City Council,Purchase of Services,4372979
FY2025 Actual,General Fund,City Council,"Materials, Supplies & Equip.",737771
FY2026 Adopted,General Fund,City Council,"Materials, Supplies & Equip.",817582
FY2026 Estimated,General Fund,City Council,"Materials, Supplies & Equip.",817582
FY2027 Proposed,General Fund,City Council,"Materials, Supplies & Equip.",817582
FY2025 Actual,General Fund,City Council,"Contrib., Indemnities & Taxes",0
FY2026 Adopted,General Fund,City Council,"Contrib., Indemnities & Taxes",100
