Function,Department,Fund Type,FP Category,Fund,2026-27  Estimates,2026-27  Estimates % Change,2025-26  Estimates,2025-26  Estimates % Change,2024-25  Actuals,2024-25  Actuals % Change,2023-24  Actuals,2023-24  Actuals % Change,2022-23  Actuals,2022-23  Actuals % Change,2021-22  Actuals,2021-22  Actuals % Change,2020-21  Actuals,2020-21  Actuals % Change,2019-20  Actuals,2019-20  Actuals % Change,2018-19  Actuals,2018-19  Actuals % Change,Department Description,Fund Description,FP Category Description,Fund Type Description
Arts & Culture,Art Museum,General Fund,"Contrib., Indemnities & Taxes",General Fund,2142000.0,-8.54,2342000.0,-11.36,2642000.0,23.34,2142000.0,5.0,2040000.0,0.0,2040000.0,0.0,2040000.0,-20.0,2550000.0,0.0,2550000.0,,"The Philadelphia Museum of Art is an art museum originally chartered in 1876 for the Centennial Exposition in Philadelphia. As one of the largest museums in the country, the Philadelphia Museum of Art offers a vibrant campus for both Philadelphians and visitors to enjoy",,,
Arts & Culture,Mural Arts Program,General Fund,Personal Services,General Fund,666048.0,1.96,653245.0,3.82,629179.0,0.0,629179.0,3.0,610850.0,4.14,586569.0,1.32,578952.0,-9.4,638987.0,9.53,583401.0,,,,,
Arts & Culture,Mural Arts Program,General Fund,Purchase of Services,General Fund,3054141.0,-31.43,4454141.0,45.84,3054141.0,0.0,3054141.0,14.36,2670610.0,29.29,2065610.0,33.64,1545610.0,-16.93,1860615.0,28.26,1450615.0,,,,,
Arts & Culture,Office of Arts and Culture and the Creative Economy,General Fund,"Contrib., Indemnities & Taxes",General Fund,4300000.0,-48.81,8400000.0,-15.83,9980000.0,,,,,,,,,,,,,,,,,
Arts & Culture,Office of Arts and Culture and the Creative Economy,General Fund,"Materials, Supplies & Equip.",General Fund,10000.0,0.0,10000.0,,,,,,,,,,,,,,,,,,,
Arts & Culture,Office of Arts and Culture and the Creative Economy,General Fund,Personal Services,General Fund,935235.0,1.67,919833.0,28.68,714833.0,,,,,,,,,,,,,,,,,
Arts & Culture,Office of Arts and Culture and the Creative Economy,General Fund,Purchase of Services,General Fund,1325768.0,230.81,400768.0,206.47,130768.0,,,,,,,,,,,,,,,,,
Arts & Culture,Office of Arts and Culture and the Creative Economy,Grants Revenue Fund,Personal Services,Grants Revenue Fund,500000.0,,,,,,,,,,,,,,,,,,,,,
Arts & Culture,Office of Arts and Culture and the Creative Economy,Grants Revenue Fund,Purchase of Services,Grants Revenue Fund,2000000.0,3900.0,50000.0,,,,,,,,,,,,,,,,,,,
Commercial Corridors & Small Businesses,Commerce,Aviation Fund,"Contrib., Indemnities & Taxes",Aviation Fund,,,,,,,,,6300000.0,,,,6300000.0,0.0,6300000.0,0.0,6300000.0,,,,,
