Breakdown Type,Name,Description,Source,,,,
Agency,Art Museum,"The Philadelphia Museum of Art is an art museum originally chartered in 1876 for the Centennial Exposition in Philadelphia. As one of the largest museums in the country, the Philadelphia Museum of Art offers a vibrant campus for both Philadelphians and visitors to enjoy",https://www.philamuseum.org/,,,,
Agency,Auditing (City Controller),"The Philadelphia City Controller promotes honest, efficient, effective, and fully accountable city government. Independent of the Mayor and City Council, the City Controller conducts independent audits and analyses that provide objective information to city officials, the public, and other interested parties about the city’s financial affairs, and on ways to improve city operations and the use of public resources.",https://controller.phila.gov/,,,,
Agency,Board of Ethics,The Board of Ethics (BOE) administers and enforces the City’s public integrity laws.,https://www.phila.gov/departments/board-of-ethics/,,,,
Agency,Board of Revision of Taxes,"The Board of Revision of Taxes (BRT) hears property assessment appeals. The Office of Property Assessment (OPA) decides the dollar-value of every piece of real estate within Philadelphia, and that value determines how much property tax is owed.",https://www.phila.gov/departments/board-of-revision-of-taxes/,,,,
Agency,Citizens Police Oversight Commission,"The Citizens Police Oversight Commission (CPOC) oversees and investigates the conduct, policies, and practices of the Philadelphia Police Department (PPD).",https://www.phila.gov/departments/citizens-police-oversight-commission/,,,,
Agency,City Commissioners,,,,,,
Agency,City Council,,,,,,
Agency,City Representative,,,,,,
Agency,City Treasurer,,,,,,
Agency,Civil Service Commission,,,,,,
Agency,Commerce,,,,,,
Agency,Commerce - Convention Center Subsidy,,,,,,
Agency,Commerce - Economic Stimulus,,,,,,
Agency,District Attorney,,,,,,
Agency,Finance,,,,,,
Agency,Finance - Budget Stabilization,,,,,,
Agency,Finance - Community College Subsidy,,,,,,
Agency,Finance - Employee Benefits,,,,,,
Agency,Finance - Hero Scholarship Awards,,,,,,
Agency,Finance - Indemnities,,,,,,
Agency,Finance - Payment to Housing Trust Fund,,,,,,
Agency,Finance - Refunds,,,,,,
Agency,Finance - Reg #32,,,,,,
Agency,Finance - School District Contribution,,,,,,
Agency,Finance - Witness Fees,,,,,,
Agency,Fire,,,,,,
Agency,First Judicial District,,,,,,
Agency,Fleet Services,,,,,,
Agency,Fleet Services - Vehicle Lease/Purch.,,,,,,
Agency,Free Library,,,,,,
Agency,Human Relations Commission,,,,,,
Agency,Human Services,,,,,,
Agency,L&I - Board of Building Standards,,,,,,
Agency,L&I - Board of L&I Review,,,,,,
Agency,Labor,,,,,,
Agency,Law,,,,,,
Agency,Licenses & Inspection,,,,,,
Agency,Managing Director,,,,,,
Agency,Managing Director - Defenders Association,,,,,,
Agency,Mayor's Office,,,,,,
Agency,Mural Arts Program,,,,,,
Agency,Neighborhood Community Action Centers,,,,,,
Agency,Office of Arts and Culture and the Creative Economy,,,,,,
Agency,Office of Behavioral Health and Intellectual disAbility,,,,,,
Agency,Office of Community Empowerment and Opportunity,,,,,,
Agency,Office of Education,,,,,,
Agency,Office of Homeless Services,,,,,,
Agency,Office of Human Resources,,,,,,
Agency,Office of Innovation and Technology,,,,,,
Agency,Office of Innovation and Technology - 911,,,,,,
Agency,Office of Property Assessment,,,,,,
Agency,Office of Public Safety,,,,,,
Agency,Office of Public Safety - Office of Prison Oversight,,,,,,
Agency,Office of Sustainability,,,,,,
Agency,Office of the Chief Administrative Officer,,,,,,
Agency,Office of the Inspector General,,,,,,
Agency,Parks and Recreation,,,,,,
Agency,Planning and Development,,,,,,
Agency,Police,,,,,,
Agency,Prisons,,,,,,
Agency,Procurement,,,,,,
Agency,Public Health,,,,,,
Agency,Public Property,,,,,,
Agency,Public Property - SEPTA Subsidy,,,,,,
Agency,Public Property - Space Rentals,,,,,,
Agency,Public Property - Utilities,,,,,,
Agency,Records,,,,,,
Agency,Register of Wills,,,,,,
Agency,Revenue,,,,,,
Agency,Sanitation,,,,,,
Agency,Sanitation - Disposal,,,,,,
Agency,Sheriff,,,,,,
Agency,Sinking Fund Commission (Debt Service),,,,,,
FP Category,Advances and Other Misc. Payments,,,,,,
FP Category,"Contrib., Indemnities & Taxes",,,,,,
FP Category,Debt Service,,,,,,
FP Category,"Materials, Supplies & Equip.",,,,,,
FP Category,Payments to Other Funds,,,,,,
FP Category,Pers. Svcs.-Emp.Benefits,,,,,,
FP Category,Personal Services,,,,,,
FP Category,Purchase of Services,,,,,,
Fund,Acute Care Hospital Fund,,,,,,
Fund,Aviation Fund,,,,,,
Fund,Budget Stabilization Fund,,,,,,
Fund,Car Rental Tax Fund,,,,,,
Fund,Community Development Fund,,,,,,
Fund,County Liquid Fuels Tax Fund,,,,,,
Fund,General Fund,,,,,,
Fund,Grants Revenue Fund,,,,,,
Fund,Healthchoices Behavioral Health Revenue Fund,,,,,,
Fund,Hotel Room Rental Tax Fund,,,,,,
Fund,Housing Trust Fund,,,,,,
Fund,Municipal Pension Fund,,,,,,
Fund,Philadelphia County Demolition Fund,,,,,,
Fund,Special Gasoline Tax Fund,,,,,,
Fund,Water Fund,,,,,,
Fund,Water Residual Fund,,,,,,
